slug,repo,pypi,travisci,is_maintained
bing-geocodify,datadesk/bing-geocodify,,,TRUE
copyboy,datadesk/copyboy,,,TRUE
cpi,datadesk/cpi,cpi,datadesk/cpi,TRUE
django-bakery,datadesk/django-bakery,django-bakery,datadesk/django-bakery,TRUE
django-bigbuild,datadesk/django-bigbuild,django-bigbuild,datadesk/django-bigbuild,TRUE
django-fec-raw-data,datadesk/django-fec-raw-data,,,FALSE
django-greeking,datadesk/django-greeking,greeking,datadesk/django-greeking,TRUE
django-project-template,datadesk/django-project-template,django-project-template,datadesk/django-project-template,FALSE
django-softhyphen,datadesk/django-softhyphen,django-softhyphen,datadesk/django-softhyphen,FALSE
django-yamlfield,datadesk/django-yamlfield,django-yamlfield,datadesk/django-yamlfield,TRUE
jquery-geocodify,datadesk/jquery-geocodify,,,FALSE
jquery-scroll-slideshow,datadesk/jquery-scroll-slideshow,,,FALSE
jquery-shareify,datadesk/jquery-shareify,,,FALSE
lat-soundsystem,datadesk/lat-soundsystem,,,TRUE
latimes-calculate,datadesk/latimes-calculate,latimes-calculate,datadesk/latimes-calculate,FALSE
latimes-document-stacker ,datadesk/latimes-document-stacker ,,,FALSE
latimes-mappingla-api ,datadesk/latimes-mappingla-api,latimes-mappingla-api ,,FALSE
latimes-mappingla-geopy,datadesk/latimes-mappingla-geopy,latimes-mappingla-geopy,,FALSE
latimes-pluggablemaps-lametrorail,datadesk/latimes-pluggablemaps-lametrorail,latimes-pluggablemaps-lametrorail,,FALSE
latimes-pluggablemaps-uscounties,datadesk/latimes-pluggablemaps-uscounties,latimes-pluggablemaps-uscounties,,FALSE
latimes-pluggablemaps-usstates,datadesk/latimes-pluggablemaps-usstates,latimes-pluggablemaps-usstates,,FALSE
latimes-qiklog,datadesk/latimes-qiklog,latimes-qiklog,,FALSE
latimes-statestyle,datadesk/latimes-statestyle,latimes-statestyle,datadesk/latimes-statestyle,TRUE
latimes-table-stacker,datadesk/latimes-table-stacker,,datadesk/latimes-table-stacker,FALSE
p2p-python,datadesk/p2p-python,p2p-python,datadesk/p2p-python,TRUE
python-censusbatchgeocoder,datadesk/python-censusbatchgeocoder,python-censusbatchgeocoder,datadesk/python-censusbatchgeocoder,TRUE
python-documentcloud,datadesk/python-documentcloud,python-documentcloud,datadesk/python-documentcloud,TRUE
python-elections,datadesk/python-elections,python-elections,datadesk/python-elections,FALSE
python-googlegeocoder,datadesk/python-googlegeocoder,python-googlegeocoder,datadesk/python-googlegeocoder,TRUE
python-lametro-api,datadesk/python-lametro-api,python-lametro-api,datadesk/python-lametro-api,FALSE
slackdown,datadesk/slackdown,slackdown,datadesk/slackdown,FALSE
uptime-grove,datadesk/uptime-grove,,,FALSE
